image,text
data/raw/newspaper/textbox_30_line_1_.png,ہوٹل کا کھانا مزے کا تھا۔
data/raw/newspaper/textbox_30_line_2_.png,یہاں کمرے میں چائے
data/raw/newspaper/textbox_31_line_1_.png,نے پلائی گئی۔
data/raw/newspaper/textbox_31_line_2_.png,سٹاف نہایت دوستانہ ہے۔
data/raw/newspaper/textbox_32_line_1_.png,ہوٹل کا واش روم صاف نہیں تھا۔
data/raw/newspaper/textbox_32_line_2_.png,صفائی کا کوئی
data/raw/newspaper/textbox_3_line_1_.png,خیال نہیں رکھا گیا۔
data/raw/newspaper/textbox_3_line_2_.png,رینٹ بہت زیادہ ہے۔
data/raw/newspaper/textbox_4_line_1_.png,ہوٹل کا عملہ دوستانہ ہے۔
data/raw/newspaper/textbox_4_line_2_.png,ہمارا سامان کاڑی سے
data/raw/newspaper/textbox_5_line_2_.png,کمرے کی چابی دی گئی۔
data/raw/newspaper/textbox_5_line_3_.png,یہیں صفت میں جانے پہلی
data/raw/newspaper/textbox_6_line_1_.png,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ
data/raw/newspaper/textbox_6_line_2_.png,ہے۔
data/raw/newspaper/textbox_7_line_2_.png,کمرے کے مکمل صاف اور کھانا اور منظر
data/raw/newspaper/textbox_7_line_3_.png,کا
data/raw/newspaper/textbox_8_line_1_.png,ہوٹل کی کمرہ میں کھلتی ہے۔
data/raw/newspaper/textbox_8_line_2_.png,ہوٹل میں اچھے بیڈ
data/raw/newspaper/textbox_9_line_1_.png,ہوٹل کا رینٹ بہت
data/raw/newspaper/textbox_9_line_2_.png,زیادہ ہے۔
data/raw/newspaper/textbox_16_line_1_.png,ہوٹل کا عملہ کافی دوستانہ ہے۔ ہوٹل سے
data/raw/newspaper/textbox_16_line_2_.png,کھیل کا منظر خوبصورت نظر آتا ہے۔
data/raw/newspaper/textbox_17_line_1_.png,ہوٹل کا کھانا مہینوی اور یہیں منظرے کا تھا۔
data/raw/newspaper/textbox_17_line_2_.png,ہوٹل کا سٹاف خوش شگفتہ اور دوستانہ نہ تھا۔
data/raw/newspaper/textbox_18_line_1_.png,صبح کے وقت واش روم میں گرم پانی نہیں آ رہا تھا۔
data/raw/newspaper/textbox_1_line_1_.png,ہوٹل کا عملہ نہایت دوستانہ ہے۔ عملہ نے
data/raw/newspaper/textbox_1_line_2_.png,میری بہت مدد کی۔ میں یہاں ضرور واپس آؤں گا۔
data/raw/newspaper/textbox_2_line_1_.png,ہوٹل کی فضا خوشگوار ہے۔ ہوٹل کا ماحول
data/raw/newspaper/textbox_2_line_2_.png,خوشگوار ہے۔ ہوٹل کا عملہ دوستانہ ہے۔
data/raw/newspaper/textbox_34_line_2_.png,ہوٹل کا سٹاف اچھا ہے۔ یہیں بہت انتظار
data/raw/newspaper/textbox_34_line_3_.png,کروایا۔ میں دوبارہ اس ہوٹل میں نہیں آؤں گا۔
data/raw/newspaper/textbox_35_line_1_.png,میں نے ہوٹل میں دو کمروں کی بکنگ کروائی
data/raw/newspaper/textbox_35_line_2_.png,ہوٹل آکر مجھے صرف ایک کمرہ دیا گیا۔
data/raw/newspaper/textbox_36_line_1_.png,ہوٹل دیکھنے میں بہت خوبصورت ہے۔ ہوٹل کا
data/raw/newspaper/textbox_36_line_2_.png,احاطہ کافی بڑا ہے۔ ہوٹل کا کھانا لذیذ ہے۔
data/raw/newspaper/textbox_37_line_1_.png,ہوٹل کا کھانا مزیدار تھا۔ ہوٹل کا کھانا
data/raw/newspaper/textbox_37_line_2_.png,معیاری تھا۔ ہوٹل کا ماحول خوشگوار تھا۔
